DIMENSÕES;;;;;;;;
DN;;DE (Diâmetro Externo do Flange);DI (Diâmetro Interno do Flange);N° de Parafusos;C (Diâmetro de Furação);Diâmetro do Parafuso;T (Espessura do Flange para Classe 86 psi);T (Espessura do Flange para Classe 150 psi)
78;1950; 2.362,20 ; Definido pelo Cliente ;64; 2.260,60 ; 50,80 ; 50,80 ; 69,85 
84;2100; 2.533,65 ; Definido pelo Cliente ;64; 2.425,70 ; 50,80 ; 50,80 ; 73,03 
90;2250; 2.705,10 ; Definido pelo Cliente ;68; 2.590,80 ; 57,15 ; 57,15 ; 76,20 
96;2400; 2.876,55 ; Definido pelo Cliente ;68; 2.755,90 ; 57,15 ; 57,15 ; 82,55 
102;2550; 3.048,00 ; Definido pelo Cliente ;72; 2.908,30 ; 63,50 ; 63,50 ; 82,55 
108;2700; 3.219,45 ; Definido pelo Cliente ;72; 3.067,05 ; 63,50 ; 63,50 ; 85,73 
114;2850; 3.390,90 ; Definido pelo Cliente ;76; 3.219,45 ; 69,85 ; 69,85 ; 88,90 
120;3000; 3.562,35 ; Definido pelo Cliente ;76; 3.371,85 ; 69,85 ; 69,85 ; 88,90 
126;3150; 3.733,80 ; Definido pelo Cliente ;80; 3.536,95 ; 76,20 ; 76,20 ; 95,25 
132;3300; 3.905,25 ; Definido pelo Cliente ;80; 3.702,05 ; 76,20 ; 76,20 ; 98,43 
138;3450; 4.076,70 ; Definido pelo Cliente ;84; 3.860,80 ; 82,55 ; 82,55 ; 101,60 
144;3600; 4.248,15 ; Definido pelo Cliente ;84; 4.019,55 ; 82,55 ; 82,55 ; 104,78 
